id,regional_center,office_type,address,suite,city,state,zip_code,telephone,website,county_served,los_angeles_health_district,location_coordinates,latitude,longitude
1,Far Northern Regional Center,Field,421 Chestnut Street,,Mt. Shasta,CA,96067,(530) 222-4791,www.farnorthernrc.org,,,"421 Chestnut Street
Mt. Shasta 96067
(41.315457, -122.313684)",41.315457,-122.313684
2,North Bay Regional Center,Main,610 Airpark Road,,Napa,CA,94558,(707) 256-1100,www.nbrc.net,Solano,,"610 Airpark Road
Napa 94558
(38.218198, -122.269063)",38.218198,-122.269063
3,San Andreas Regional Center,Main,300 Orchard City Drive,Ste. 170,Campbell,CA,95008,(408) 374-9960,www.sarc.org,Santa Clara,,"300 Orchard City Drive
Campbell 95008
(37.286235, -121.944083)",37.286235,-121.944083
4,Regional Center of Orange County,Mailing,P.O Box 22010,,Santa Ana,CA,92702,(714) 796-5100,www.rcocdd.com,,,"P.O Box 22010
Santa Ana 92702
",,
5,Inland Regional Center,Main,1365 South Waterman Avenue,,San Bernardino,CA,92408,(909) 890-3000,www.inlandrc.org,San Bernardino,,"1365 South Waterman Avenue
San Bernardino 92408
(34.075389, -117.278652)",34.075389,-117.278652
6,Frank D. Lanterman Regional Center,Main,3303 Wilshire Blvd.,Ste. 700,Los Angeles,CA,90010,(213) 383-1300,www.lanterman.org,Los Angeles,Central,"3303 Wilshire Blvd.
Los Angeles 90010
(34.061772, -118.294495)",34.061772,-118.294495
7,Valley Mountain Regional Center,Main,702 North Aurora Street,,Stockton,CA,95202,(209) 473-0951,www.vmrc.net,Calaveras,,"702 North Aurora Street
Stockton 95202
(37.96191, -121.281678)",37.96191,-121.281678
8,Redwood Coast Regional Center,Field,270 Chestnut Street,Ste. A,Fort Bragg,CA,95437,(707) 964-6387,www.redwoodcoastrc.org,,,"270 Chestnut Street
Fort Bragg 95437
(39.436304, -123.803333)",39.436304,-123.803333
9,Alta California Regional Center,Main,2241 Harvard Street,Ste. 100,Sacramento,CA,95815,(916) 978-6400,www.altraregional.org,Yuba,,"2241 Harvard Street
Sacramento 95815
(38.606023, -121.437173)",38.606023,-121.437173
10,Valley Mountain Regional Center,Main,702 North Aurora Street,,Stockton,CA,95202,(209) 473-0951,www.vmrc.net,Stanislaus,,"702 North Aurora Street
Stockton 95202
(37.96191, -121.281678)",37.96191,-121.281678
