id,name,phone,center_based_services,areas,address,website_domain,latitude,longitude,specializations,insurance_accepted,services,
1,A & H BEHAVIORAL THERAPY,"909-665-7070, 818-823-1515",,"SAN FERNANDO VALLEY,SAN GABRIEL VALLEY,LONG BEACH,INGLEWOOD,COMPTON","16000 Ventura Blvd #1103, Encino, CA 91436, United States",http://www.ahappyfam.com/,34.1559313,-118.4818437,Autism,"Health Net, MHN, Magellan, Blue Shield, Anthem/Blue Cross, Regional center, Self-determination programs, Kaiser/Easterseal","In Home ABA Therapy, Autism Behavioral Intervention, Autism Training for Parents, One-to-One Autism Therapy, Early Intervention, Telehealth",
2,"A CHANGE IN TRAJECTORY, INC.",818-235-1414,,"ANTELOPE VALLEY,CENTRAL LOS ANGELES,POMONA VALLEY,SAN FERNANDO VALLEY","7226 Sepulveda Blvd, Van Nuys, CA 91405, United States",http://www.act-works.net/,34.2020199,-118.4659051,,"Blue Shield, Anthem/Blue Cross, Aetna, Cigna, The Holman Group, MHN, Kaiser Permanente, Molina Health Care, Magellan, Inland Empire Health Plan, L.A. Care, United Behavioral Health","16-Hour Parent Education Groups, Functional Behavior Assessment, Infant Development Program, In-Home Parent Training, Behavior Health Treatment,
Adaptive Skills Training, Social Skills Groups Assessment and Intervention, Parent Seminars, Teacher Workshop,
School-Based Behavior Support-Shadows, Behavior Respite Services, Community Integration Program, School-Based Behavior Support – Shadows,
",
3,ABA ENHANCEMENT INC.,951-317-5950,,"LONG BEACH,LAKEWOOD,HUNTINGTON PARK,DOWNEY,PICO RIVERA,LA VERNE,CLAREMONT,DIAMOND BAR,POMONA","3491 Elm Ave, Long Beach, CA 90807, United States",http://www.baetherapy.com/,33.8203089,-118.1882217,,,,
4,"ABA WORKS, INC.",888-286-8715,LOMITA,LONG BEACH,"25124 Narbonne Ave Ste 102, Lomita, CA 90717, United States",https://aba-works.com/,33.7960406,-118.3194976,,"MHN, Magellan, Medicaid, Blue Cross, Molina, Blue Shield, Anthem",,
5,ACCEL THERAPIES,949-630-8290,,"EAST LA (LAKEWOOD,NORWALK,DOWNEY,ETC.) & SOUTH BAY (TORRANCE,LONG BEACH,CARSON,ETC.)","140 S Flower St Suite 100, Orange, CA 92868, United States",https://acceltherapies.com/,33.787094,-117.8775459,,"Aetna, Optum, Magellan, Blue Shield, Blue Cross Blue Shield, Blue Cross, CalOptima, Tricare, Medicaid, Anthem",,
6,"ACCELERATED BEHAVIORAL CHANGE, INC.",747-221-4222,,SAN FERNANDO VALLEY,"16400 Ventura Blvd UNIT 327, Encino, CA 91436, United States",http://www.abcspectrum.com/,34.156912,-118.490414,,,,
7,"ACCELERATION BEHAVIORAL THERAPIES, INC.",818-356-8106,,SAN FERNANDO VALLEY,"16501 Ventura Blvd suite 400, Encino, CA 91436, United States",https://www.accelerationbt.com/,34.158243,-118.4929314,,,,
8,"ACES COMPREHENSIVE EDUCATIONAL SERVICES, INC. DBA",949-833-2237,,"GATEWAY CITIES,POMONA VALLEY","16360 Roscoe Blvd #100, Van Nuys, CA 91406, United States",https://www.acesaba.com/location-sfv/,34.2207274,-118.4890449,,,,
9,"ADVANCED FOR BEHAVIOR & EDUCATIONAL DEVELOPMENT & INTERVENTION, INC. (ABEDI)",949-250-1101,VAN NUYS,SAN FERNANDO VALLEY,"17203 Ventura Blvd #3, Encino, CA 91316, United States",http://www.teamabi.com/,34.1610637,-118.5079366,,,,
10,ADVANCED PEDIATRIC BEHAVIORAL HEALTH,818-646-9229,,SAN FERNANDO VALLEY,"15720 Ventura Blvd #210, Encino, CA 91436, United States",https://advancedpsychiatryassociates.com/,34.1549978,-118.475721,,Medicare,,
