id,name,address,phone,website,therapy_types,insurance_accepted,diagnoses_treated,age_groups
614389c4-abd4-444c-a3fe-2de1cd718934,1 to 1 Kid Talk Therapy,"814 12th St. #4 Santa Monica, CA 90403",323-328-8412,https://1to1kidtalk.com/,['Speech therapy'],Private Pay,"[""Speech and Language Disorder"", ""Autism Spectrum Disorder"", ""Global Development Delay""]","[""0-5""]"
d851ae4a-83b1-4161-b04f-fa01bf46a4e8,360 Behavioral Health,"3750 Atlantic Ave, Long Beach, CA 90807",833-227-3454,https://360behavioralhealth.com/,['ABA therapy'],"Medi-Cal, Private Insurance","[""Autism Spectrum Disorder"", ""Global Development Delay"", ""ADHD""]","[""0-5"", ""6-12"", ""13-18""]"
bb3e298f-651c-4536-a5c4-01c8e64d0612,360 Behavioral Health,"1343 N. Grand Avenue Suite 200 Covina, Ca 91724",833-768-8867,https://360behavioralhealth.com/city/covina/,"[""ABA therapy"", ""Parent child interaction therapy/parent training behavior management"", ""Social Skills Training""]"," Private Pay, Medi-Cal","[""Autism Spectrum Disorder"", ""Global Development Delay"", ""ADHD""]","[""0-5"", ""6-12"", ""13-18""]"
323b0f6c-81cc-425f-a3d4-e9ae6b0adf16,360 Behavioral Health,"3750 Atlantic Ave, Long Beach,, CA 90807",833-227-3454,https://360behavioralhealth.com/city/covina/,['ABA therapy'],"Medi-Cal, Private Insurance","[""Autism Spectrum Disorder"", ""Global Development Delay"", ""ADHD""]","[""0-5"", ""6-12"", ""13-18""]"
30849246-34ed-4743-b9d8-472873b0ed6d,A and J Behavioral Health,"12100 Wilshire Blvd Suite 836, Los Angeles, CA 90025",310-905-6642,https://ajbehavioral-ca.com/,"['ABA therapy', 'Parent child interaction therapy/parent training behavior management', 'Social skills training', 'Early intervention']","Private Pay, Private Insurance","[""Autism Spectrum Disorder"", ""Global Development Delay"", ""ADHD""]","[""0-5"", ""6-12"", ""13-18""]"
b664ed28-004e-4148-a622-1633fe043a7b,"A Change In Trajectory, Inc.","{""zip"": ""91405"", ""city"": ""Van Nuys"", ""state"": ""CA"", ""street"": ""7226 Sepulveda Blvd""}",818-235-1414,http://www.act-works.net/,"['ABA therapy', 'Parent child interaction therapy/parent training behavior management', 'Social skills training', 'Early intervention']","{""Blue Shield"",""Anthem/Blue Cross"",Aetna,Cigna,""The Holman Group"",MHN,""Kaiser Permanente"",""Molina Health Care"",Magellan,""Inland Empire Health Plan"",""L.A. Care"",""United Behavioral Health""}","[""Autism Spectrum Disorder"", ""Global Development Delay"", ""ADHD""]","[""0-5"", ""6-12"", ""13-18""]"
038a583e-9543-4d02-b86d-6bd636034f11,A Happy Family Behavioral Services,"13400 Riverside Dr. #212 Sherman Oaks, CA 91423",818-330-5328,https://www.ahappyfam.com/,"['ABA therapy', 'Parent Training']","MHN, TRICARE, Magellan Health, Anthem Blue Cross","[""Autism Spectrum Disorder"", ""Global Development Delay"", ""ADHD""]","[""0-5"", ""6-12"", ""13-18""]"
8f0a05af-c303-4100-b9ee-7797276a5e1c,A Speech Storey,"5318 2nd St #910, Long Beach,, CA 90803",562-222-4629,https://www.aspeechstorey.com/,['Speech therapy'],Private Pay,"[""Speech and Language Disorder"", ""Autism Spectrum Disorder"", ""Global Development Delay""]","[""0-5"", ""6-12"", ""13-18""]"
2153f478-a925-4855-9849-07478a9e76e8,Aba Enhancement Inc.,"{""zip"": ""90807"", ""city"": ""Long Beach"", ""state"": ""CA"", ""street"": ""3491 Elm Ave""}",951-317-5950,http://www.baetherapy.com/,"['Speech therapy', 'Parent training']",{Aetna},"[""Speech and Language Disorder"", ""Autism Spectrum Disorder"", ""Global Development Delay""]","[""0-5"", ""6-12"", ""13-18""]"
b6fd6485-fde7-40ea-8276-d9ee7bfab2e6,ABA Works,"25124 Narbonne Ave Ste 102, Lomita,, CA 90717",888-286-8715,https://aba-works.com/,"['ABA therapy', 'Speech therapy', 'Parent training']","Private Insurance:  Molina, LA Care, Blue Shield of CA, Anthem/Blue Cross, Magellan, HealthNet, MHN, Blue Shield Promise Health Plan","[""Autism Spectrum Disorder"", ""ADHD"", ""Speech and Language Disorder"", ""Sensory Processing Disorder""]","[""0-5"", ""6-12"", ""13-18""]"
