id,name,address,latitude,longitude,phone,website,therapy_types,insurance_accepted,diagnoses_treated,age_groups,regional_centers,description,type,email,created_at,updated_at
614389c4-abd4-444c-a3fe-2de1cd718934,1 to 1 Kid Talk Therapy,"814 12th St. #4 Santa Monica, CA 90403",34.01950000,-118.49120000,323-328-8412,https://1to1kidtalk.com/,[],Private Pay,[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T18:02:22.789984+00:00,2025-11-05T05:08:29.769173+00:00
d851ae4a-83b1-4161-b04f-fa01bf46a4e8,360 Behavioral Health,"3750 Atlantic Ave, Long Beach, CA 90807",33.82548090,-118.18491300,833-227-3454,https://360behavioralhealth.com/,['ABA therapy'],"Medi-Cal, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T19:58:53.893743+00:00,2025-11-05T05:08:29.819930+00:00
bb3e298f-651c-4536-a5c4-01c8e64d0612,360 Behavioral Health,"1343 N. Grand Avenue Suite 200 Covina, Ca 91724",34.10364700,-117.87429600,833-768-8867,https://360behavioralhealth.com/city/covina/,"['ABA therapy', 'Parent child interaction therapy/parent training behavior management']","Regional Center, Private Pay, Medi-Cal",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T18:02:22.922519+00:00,2025-11-05T05:08:29.712932+00:00
323b0f6c-81cc-425f-a3d4-e9ae6b0adf16,360 Behavioral Health,"3750 Atlantic Ave, Long Beach,, CA 90807",33.82548090,-118.18491300,833-227-3454,https://360behavioralhealth.com/city/covina/,['ABA therapy'],"Medi-Cal, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T20:02:46.347718+00:00,2025-11-05T05:08:29.752768+00:00
c95cbeb9-7690-42fa-9df4-7bb261998be9,A & H Behavioral Therapy,"{""zip"": ""91436"", ""city"": ""Encino"", ""state"": ""CA"", ""street"": ""16000 Ventura Blvd #1103""}",34.15593100,-118.48184400,"909-665-7070, 818-823-1515",http://www.ahappyfam.com/,[],"{""Health Net"",MHN,Magellan,""Blue Shield"",""Anthem/Blue Cross"",""Regional center"",""Self-determination programs"",Kaiser/Easterseal}",[],[],locations.ProviderRegionalCenter.None,"SAN FERNANDO VALLEY,SAN GABRIEL VALLEY,LONG BEACH,INGLEWOOD,COMPTON",Service Provider,,2025-08-07T22:34:11.729679+00:00,2025-11-05T05:08:29.772938+00:00
30849246-34ed-4743-b9d8-472873b0ed6d,A and J Behavioral Health,"12100 Wilshire Blvd Suite 836, Los Angeles, CA 90025",34.04349200,-118.46760100,310-905-6642,https://ajbehavioral-ca.com/,"['ABA therapy', 'Parent child interaction therapy/parent training behavior management', 'Social skills training', 'Early intervention']","Private Pay, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T18:02:22.783986+00:00,2025-11-05T05:08:29.783084+00:00
b664ed28-004e-4148-a622-1633fe043a7b,"A Change In Trajectory, Inc.","{""zip"": ""91405"", ""city"": ""Van Nuys"", ""state"": ""CA"", ""street"": ""7226 Sepulveda Blvd""}",34.20202000,-118.46590500,818-235-1414,http://www.act-works.net/,[],"{""Blue Shield"",""Anthem/Blue Cross"",Aetna,Cigna,""The Holman Group"",MHN,""Kaiser Permanente"",""Molina Health Care"",Magellan,""Inland Empire Health Plan"",""L.A. Care"",""United Behavioral Health""}",[],[],locations.ProviderRegionalCenter.None,"ANTELOPE VALLEY,CENTRAL LOS ANGELES,POMONA VALLEY,SAN FERNANDO VALLEY",Service Provider,,2025-08-07T22:34:11.729944+00:00,2025-11-05T05:08:29.865020+00:00
038a583e-9543-4d02-b86d-6bd636034f11,A Happy Family Behavioral Services,"13400 Riverside Dr. #212 Sherman Oaks, CA 91423",34.15046300,-118.44585700,818-330-5328,https://www.ahappyfam.com/,"['ABA therapy', 'Parent Training']","MHN, TRICARE, Magellan Health, Anthem Blue Cross",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.060513+00:00,2025-11-05T05:08:30.060517+00:00
8f0a05af-c303-4100-b9ee-7797276a5e1c,A Speech Storey,"5318 2nd St #910, Long Beach,, CA 90803",33.75910540,-118.13235240,562-222-4629,https://www.aspeechstorey.com/,['Speech therapy'],Private Pay,[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T20:39:58.590685+00:00,2025-11-05T05:08:29.996317+00:00
2153f478-a925-4855-9849-07478a9e76e8,Aba Enhancement Inc.,"{""zip"": ""90807"", ""city"": ""Long Beach"", ""state"": ""CA"", ""street"": ""3491 Elm Ave""}",33.82030900,-118.18822200,951-317-5950,http://www.baetherapy.com/,[],{},[],[],locations.ProviderRegionalCenter.None,"LONG BEACH,LAKEWOOD,HUNTINGTON PARK,DOWNEY,PICO RIVERA,LA VERNE,CLAREMONT,DIAMOND BAR,POMONA",Service Provider,,2025-08-07T22:34:11.699290+00:00,2025-11-05T05:08:29.803105+00:00
