zip,county_fips,county_name
90001,06037,Los Angeles
90002,06037,Los Angeles
90003,06037,Los Angeles
90004,06037,Los Angeles
90005,06037,Los Angeles
90006,06037,Los Angeles
90007,06037,Los Angeles
90008,06037,Los Angeles
90010,06037,Los Angeles
90011,06037,Los Angeles
90012,06037,Los Angeles
90013,06037,Los Angeles
90014,06037,Los Angeles
90015,06037,Los Angeles
90016,06037,Los Angeles
90017,06037,Los Angeles
90018,06037,Los Angeles
90019,06037,Los Angeles
90020,06037,Los Angeles
90021,06037,Los Angeles
90022,06037,Los Angeles
90023,06037,Los Angeles
90024,06037,Los Angeles
90025,06037,Los Angeles
90026,06037,Los Angeles
90027,06037,Los Angeles
90028,06037,Los Angeles
90029,06037,Los Angeles
90031,06037,Los Angeles
90032,06037,Los Angeles
90033,06037,Los Angeles
90034,06037,Los Angeles
90035,06037,Los Angeles
90036,06037,Los Angeles
90037,06037,Los Angeles
90038,06037,Los Angeles
90039,06037,Los Angeles
90040,06037,Los Angeles
90041,06037,Los Angeles
90042,06037,Los Angeles
90043,06037,Los Angeles
90044,06037,Los Angeles
90045,06037,Los Angeles
90046,06037,Los Angeles
90047,06037,Los Angeles
90048,06037,Los Angeles
90049,06037,Los Angeles
90056,06037,Los Angeles
90057,06037,Los Angeles
90058,06037,Los Angeles
90059,06037,Los Angeles
90061,06037,Los Angeles
90062,06037,Los Angeles
90063,06037,Los Angeles
90064,06037,Los Angeles
90065,06037,Los Angeles
90066,06037,Los Angeles
90067,06037,Los Angeles
90068,06037,Los Angeles
90069,06037,Los Angeles
90071,06037,Los Angeles
90073,06037,Los Angeles
90077,06037,Los Angeles
90094,06037,Los Angeles
90201,06037,Los Angeles
90210,06037,Los Angeles
90211,06037,Los Angeles
90212,06037,Los Angeles
90220,06037,Los Angeles
90221,06037,Los Angeles
90222,06037,Los Angeles
90230,06037,Los Angeles
90232,06037,Los Angeles
90240,06037,Los Angeles
90241,06037,Los Angeles
90242,06037,Los Angeles
90245,06037,Los Angeles
90247,06037,Los Angeles
90248,06037,Los Angeles
90249,06037,Los Angeles
90250,06037,Los Angeles
90254,06037,Los Angeles
90255,06037,Los Angeles
90260,06037,Los Angeles
90262,06037,Los Angeles
90265,06037,Los Angeles
90266,06037,Los Angeles
90270,06037,Los Angeles
90272,06037,Los Angeles
90274,06037,Los Angeles
90275,06037,Los Angeles
90277,06037,Los Angeles
90278,06037,Los Angeles
90280,06037,Los Angeles
90290,06037,Los Angeles
90291,06037,Los Angeles
90292,06037,Los Angeles
90293,06037,Los Angeles
90301,06037,Los Angeles
90302,06037,Los Angeles
90303,06037,Los Angeles
90304,06037,Los Angeles
90305,06037,Los Angeles
90401,06037,Los Angeles
90402,06037,Los Angeles
90403,06037,Los Angeles
90404,06037,Los Angeles
90405,06037,Los Angeles
